City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
13,Dwarka,IN,81.99,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
22,Butaritari,KI,81.99,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
33,Hobyo,SO,75.16,few clouds,5.3505,48.5268,Iftin hotel hobyo
50,Atuona,PF,77.58,few clouds,-9.8,-139.0333,Villa Enata
55,Beidao,CN,77.54,clear sky,34.5686,105.8933,Shell Tianshui Maiji District Erma Road Walking Street Hotel
57,Bardiyah,LY,75.36,clear sky,31.7561,25.0865,بورتو بردية
61,Camocim,BR,77.07,broken clouds,-2.9022,-40.8411,Ilha Praia Hotel
88,Montorio Al Vomano,IT,79.95,clear sky,42.5831,13.6383,Hotel Vomano
94,Mehriz,IR,81.91,clear sky,31.5917,54.4318,Mehrgard dwelling/سرای مهرگرد
96,Bandarbeyla,SO,76.75,clear sky,9.4942,50.8122,JABIR HOTEL
101,Lipari,IT,76.98,clear sky,38.4674,14.954,Hotel Villa Augustus
103,Palu,ID,81.59,broken clouds,-0.8917,119.8707,Hotel Santika Palu
111,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
116,Goderich,CA,76.91,scattered clouds,43.7501,-81.7165,Harmony Inn
118,Forio,IT,79.09,clear sky,40.7342,13.8646,Hotel Terme Providence
121,Samana,DO,78.78,overcast clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
132,Bubaque,GW,78.37,moderate rain,11.2833,-15.8333,"Casa Dora, Bubaque"
135,Port Blair,IN,80.24,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
137,Teknaf,BD,79.77,moderate rain,20.8624,92.3058,Forestry Guesthouse
142,Jalu,LY,75.88,clear sky,29.0331,21.5482,صاحبة الفخامة
147,Tual,ID,77.94,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
156,Talnakh,RU,76.21,few clouds,69.4865,88.3972,Talnakh Hotel
171,Ranong,TH,77.41,overcast clouds,9.9658,98.6348,Numsai Khaosuay Resort Ranong
175,Avarua,CK,80.65,scattered clouds,-21.2078,-159.775,Paradise Inn
177,Rosetta,EG,75.56,clear sky,31.4044,30.4164,Green Valley
184,Salalah,OM,75.29,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
187,Faanui,PF,78.6,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
196,Voh,NC,76.73,moderate rain,-20.9667,164.7,Le gîte du Koniambo
212,Gat,IL,75.88,clear sky,31.61,34.7642,OlusHome
213,Hamilton,US,81.88,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
223,Mawlaik,MM,79.75,heavy intensity rain,23.6333,94.4167,AKZ Guest House
235,Sabha,LY,77.14,clear sky,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
241,Bayan,CN,76.5,broken clouds,46.0833,127.4,Wanhao Inn
243,Nantucket,US,78.91,mist,41.2835,-70.0995,Jared Coffin House
247,Bethel,US,77.63,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
248,Alta Floresta,BR,76.39,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
249,Port Hedland,AU,78.85,clear sky,-20.3167,118.5667,The Esplanade Hotel
252,Gashua,NG,79.66,light rain,12.871,11.0482,Forte Oil - Old Lorry Park
253,Buchanan,LR,75.63,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
254,Locri,IT,76.32,clear sky,38.2414,16.2623,Grand Hotel President
263,Bengkulu,ID,81.86,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
272,Greeneville,US,77.92,clear sky,36.1632,-82.831,General Morgan Inn and Conference Center
279,Westport,US,80.78,clear sky,41.1415,-73.3579,The Westport Inn
281,Norman Wells,CA,79.95,broken clouds,65.282,-126.8329,Heritage Hotel
285,Isangel,VU,79.07,heavy intensity rain,-19.55,169.2667,Tanna Lodge
298,Salumbar,IN,78.67,overcast clouds,24.1333,74.05,chatra chaya guest house
303,Hambantota,LK,80.64,scattered clouds,6.1241,81.1185,Bungalow 63
306,Chulman,RU,77.0,overcast clouds,56.8479,124.9104,Gostinitsa
307,Naraina,IN,80.44,overcast clouds,26.7833,75.2,Acharya Shri Jayant Satsang Bhavan
316,Graham,US,75.33,clear sky,47.0529,-122.2943,Rainier View Adult Rv Park
319,Sinjai,ID,80.42,overcast clouds,-5.1241,120.253,Wisma Sandika
320,Bluefields,NI,76.89,overcast clouds,12.0137,-83.7635,Nicaraguan Typical House Downtown
325,Medicine Hat,CA,77.22,broken clouds,50.0501,-110.6683,Ramada Limited Medicine Hat
328,Kamaishi,JP,77.14,broken clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
330,Banda Aceh,ID,81.16,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
339,Neftcala,AZ,77.09,clear sky,39.3742,49.2472,Otel restoran
371,Yinchuan,CN,80.78,clear sky,38.4681,106.2731,JJ Inns - Yinchuan New Moon Square Branch
373,Jambi,ID,80.62,light rain,-1.6,103.6167,ASTON Jambi Hotel & Conference Center
386,Sinnamary,GF,77.79,few clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
388,Mana,GF,77.54,overcast clouds,5.6592,-53.7767,LE SAMANA
389,Soverato,IT,80.15,clear sky,38.685,16.5499,Hotel San Domenico
390,Toktogul,KG,80.17,clear sky,41.8708,72.9402,KAGAN
392,Oussouye,SN,77.18,moderate rain,12.485,-16.5469,Auberge du Routard
395,Yuxia,CN,77.61,clear sky,34.0615,108.6291,Shanchengxuan Hotel
397,Wajima,JP,79.48,scattered clouds,37.4,136.9,Wajiima Onsen Yashio
411,Salinopolis,BR,78.46,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
413,Palmer,US,80.24,few clouds,42.1584,-72.3287,Wedgewood Motel
416,Bantogon,PH,81.32,scattered clouds,6.5333,124.0333,Kalamansig Greenhome
421,Khowst,AF,75.76,broken clouds,33.3833,69.8833,وچه خوړه،Wacha Khwara
431,Muncar,ID,77.86,overcast clouds,-8.4333,114.3333,Zaky Homestay
433,Alofi,NU,80.49,few clouds,-19.0595,-169.9187,Taloa Heights
447,Tarancon,ES,76.03,scattered clouds,40.0085,-3.0073,Hostal La Estación
450,Srandakan,ID,78.78,overcast clouds,-7.9386,110.2506,Puri Brata
456,Nouakchott,MR,80.53,light rain,18.0858,-15.9785,HOTEL IMAN
457,Kapoeta,SS,77.86,broken clouds,4.7717,33.5903,Eastgate Hotel
461,Manggar,ID,81.97,overcast clouds,-2.8833,108.2667,Guest Hotel
467,Half Moon Bay,US,78.87,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
472,Tautira,PF,76.57,scattered clouds,-17.7333,-149.15,Pension Oaoa
478,Tezu,IN,77.07,overcast clouds,27.9167,96.1667,Circuit House
479,Nouadhibou,MR,75.18,scattered clouds,20.931,-17.0347,El Medina
488,Baghdad,IQ,78.71,clear sky,33.3406,44.4009,Baghdad Hotel
489,Monroe,US,78.96,clear sky,43.1501,-77.6831,Rodeway Inn Rochester Airport
494,Delvada,IN,80.6,overcast clouds,20.7667,71.0333,Hotel Shivam
498,Rameswaram,IN,81.28,overcast clouds,9.2833,79.3,Daiwik Hotels Rameswaram
500,Huoqiu,CN,75.16,overcast clouds,32.3394,116.2694,GreenTree Inn AnHui LuAn HuoQiu JianXing Road Express Hotel
512,Bagua Grande,PE,75.42,clear sky,-5.7561,-78.4411,HOTELNIEVA
513,Gombong,ID,78.03,overcast clouds,-7.6072,109.5142,Grafika Hotel Dan Restoran
518,Tayu,ID,81.95,clear sky,-6.5397,111.0518,Toko pakaian bu is Tayu
520,Calabozo,VE,75.11,scattered clouds,8.9242,-67.4293,Hotel Giardini
524,Mangrol,IN,80.98,overcast clouds,21.1167,70.1167,Hotel The Royal Honours
529,Riohacha,CO,81.73,overcast clouds,11.5444,-72.9072,Hotel Taroa
531,Bontang,ID,81.79,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
532,Meulaboh,ID,80.53,overcast clouds,4.1363,96.1285,Kost Pria
535,Maningrida,AU,79.52,few clouds,-12.0667,134.2667,Dhukurrdji Lodge
537,Coahuayana,MX,80.28,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
540,Seoul,KR,80.17,broken clouds,37.5683,126.9778,LOTTE HOTEL SEOUL
541,Kavaratti,IN,81.1,overcast clouds,10.5669,72.642,Green leaf
558,Payo,ID,81.63,scattered clouds,-3.7508,103.6372,Mess keban agung
564,Samarai,PG,81.99,broken clouds,-10.6167,150.6667,Nuli Sapi
571,Dingzhou,CN,80.71,clear sky,38.5131,114.9956,宜家时尚宾馆
572,Carutapera,BR,75.45,overcast clouds,-1.195,-46.02,Lidera
575,Bama,NG,75.76,light rain,11.5221,13.6856,UN Humanitarian Hub
597,Indramayu,ID,81.61,scattered clouds,-6.3264,108.32,Grand Trisula Hotel
601,Yarada,IN,80.92,mist,17.65,83.2667,Yarada Jungle Beach Resorts
603,Ugoofaaru,MV,81.86,overcast clouds,5.6667,73.0,Ungoofaaru Inn
605,Tura,IN,80.82,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
610,Verkh-Usugli,RU,75.45,light rain,52.7,115.1667,"Gostinitsa ""Sever"""
615,Awjilah,LY,75.96,clear sky,29.1081,21.2869,المنزل
622,Humberto De Campos,BR,75.31,scattered clouds,-2.5983,-43.4611,Pousada do Cabeça
625,Puerto Colombia,CO,80.69,scattered clouds,10.9878,-74.9547,Hotel El Emigrante
627,Ibra,OM,81.52,broken clouds,22.6906,58.5334,مزرعة راحة النفوس المنزفة
631,Eyl,SO,77.16,clear sky,7.9803,49.8164,Amiin Hotel
635,Sao Geraldo Do Araguaia,BR,76.48,scattered clouds,-6.4006,-48.555,Hotel Por do Sol
637,Dzilam Gonzalez,MX,80.94,broken clouds,21.2833,-88.9333,posadas
644,Pio Xii,BR,79.39,broken clouds,-3.8325,-45.1525,BACURI DOS QUARESMAS
646,Sakaiminato,JP,78.78,broken clouds,35.55,133.2333,Italian pasley
658,Epe,NG,76.48,overcast clouds,6.5841,3.9834,MAGVILLE HOTEL
665,Anloga,GH,75.34,broken clouds,5.7947,0.8973,Pin Drop Hotel
669,Fayaoue,NC,76.24,light rain,-20.65,166.5333,Chez Dydyce Guesthouse
673,Mareeba,AU,75.49,clear sky,-17.0,145.4333,Trinity Plains Tourist Park
678,Pochutla,MX,78.82,broken clouds,15.7432,-96.4661,Hotel Posada San Jose
684,Portland,US,78.46,few clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
690,Manthani,IN,75.69,overcast clouds,18.65,79.6667,"Sri Sai bike Paint,manthani"
692,Grand Forks,US,78.73,clear sky,47.9417,-97.4337,Warrior Inn
693,Ingham,US,78.42,clear sky,42.6,-84.3833,Sunset Mobile Home Park
703,Ganserndorf,AT,78.28,overcast clouds,48.3392,16.7202,Restaurant und Privatzimmer Leons Silberwald
709,Muroto,JP,79.25,broken clouds,33.2833,134.15,Oota Ryokan
710,Changuinola,PA,78.24,overcast clouds,9.4333,-82.5167,ApartHotel Villa Esmeralda
718,Cap-Aux-Meules,CA,75.25,broken clouds,47.3821,-61.8597,Auberge Madeli
719,Porto Walter,BR,75.52,clear sky,-8.2686,-72.7439,Hotel Silva
720,Bud,US,80.67,clear sky,39.447,-86.1758,Ted McQuinn Trust
